# USDA NASS Quick Stats, environmental: North Dakota nitrogen fertilizer application.
# DOMAIN_DESC = FERTILIZER, DOMAINCAT_DESC = FERTILIZER: (NITROGEN), state level.
# practice = PRODN_PRACTICE_DESC. ORGANIC is a SEPARATE record from ALL PRODUCTION
# PRACTICES and must not be mixed into a synthetic-ammonia model; dropping this
# column collapsed two distinct 2009 spring-wheat records into one.
# PER_APP = LB / ACRE / APPLICATION, AVG    APPS = NUMBER, AVG
# PER_YEAR = LB / ACRE / YEAR, AVG          PCT_AREA = PCT OF AREA PLANTED, AVG
# (D) = withheld by NASS to avoid disclosing individual operations.
# Retrieved 2026-09-19 from qs.environmental_20260919.txt.gz. 17 U.S.C. 105, no copyright.
crop	class	practice	year	measure	value
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1993	PCT_AREA	92
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1993	PER_APP	40
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1993	PER_YEAR	66
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1994	APPS	1.7
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1994	PCT_AREA	91
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1994	PER_APP	45
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1994	PER_YEAR	76
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1995	APPS	1.6
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1995	PCT_AREA	88
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1995	PER_APP	40
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1995	PER_YEAR	62
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1996	APPS	1.6
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1996	PCT_AREA	90
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1996	PER_APP	42
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1996	PER_YEAR	68
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1997	APPS	1.8
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1997	PCT_AREA	99
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1997	PER_APP	40
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1997	PER_YEAR	72
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1998	APPS	1.7
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1998	PCT_AREA	97
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1998	PER_APP	43
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1998	PER_YEAR	72
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2000	APPS	1.6
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2000	PCT_AREA	97
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2000	PER_APP	46
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2000	PER_YEAR	76
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2002	APPS	1.6
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2002	PCT_AREA	97
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2002	PER_APP	46
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2002	PER_YEAR	75
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2004	APPS	2.5
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2004	PCT_AREA	98
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2004	PER_APP	46
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2004	PER_YEAR	114
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2006	APPS	1.7
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2006	PCT_AREA	99
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2006	PER_APP	42
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2006	PER_YEAR	70
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2009	APPS	1.8
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2009	PCT_AREA	96
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2009	PER_APP	42
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2009	PER_YEAR	75
